#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
ATNAC,Assessment of the rating performance of ITU-T recommended video quality metrics in the context of video freezes. (6)
ATT@IJCAI,Impact of Detour-Aware Policies on Maximizing Profit in Ridesharing. (6),Delta-Tolling: Adaptive Tolling for Optimizing Traffic Throughput. (6)
AUIC,Feasibility Study of a Robotic Medication Assistant for the Elderly. (8)
AUSCRYPT,On Verifiable Implicit Asking Protocols for RSA Computation. (4),Some Remarks on Authentication Systems. (4)
AVBPA,Face Verification Competition on the XM2VTS Database. (20)
AVEC@MM,AVEC 2019 Workshop and Challenge: State-of-Mind, Detecting Depression with AI, and Cross-Cultural Affect Recognition. (17)
AVI,Digital interaction: where are we going? (18)
AVR,Real-Time Single Camera Hand Gesture Recognition System for Remote Deaf-Blind Communication. (12)
AVSP,CENSREC-1-AV: an audio-visual corpus for noisy bimodal speech recognition. (16)
AVSS,An end-to-end system for content-based video retrieval using behavior, actions, and appearance with interactive query refinement. (45)
AXMEDIS,A Cross Media Platform for Personalized Leisure & Entertainment: The POLYMNIA Approach. (12)
Aarhus Conference on Critical Alternatives,Personal data: thinking inside the box. (7)
Access Controlled,The EU Data Retention Directive in an Era of Internet Surveillance. (2),Control and Subversion in Russian Cyberspace. (2),Beyond Denial: Introducing Next-Generation Information Access Controls. (2)
Accuracy and Fuzziness,Professor Trillas' Presidency of CSIC: Years of Political Change and Friendship. (10)
Achieving Real-Time in Distributed Computing,Web Service Specifications Relevant for Service Oriented Infrastructures. (9)
Acta Cybern.,Closed On-Line Bin Packing. (9)
Acta Numer.,Linear algebra software for large-scale accelerated multicore computing. (10)
Active Learning and Experimental Design @ AISTATS,Active Learning and Experimental Design workshop, In conjunction with AISTATS 2010, Sardinia, Italy, May 16, 2010 (5)
Active Media Technology,Smart Media: Empower Media with Active Data Hiding. (6)
Active Mining,Data Mining Oriented CRM Systems Based on MUSASHI: C-MUSASHI. (7),Extracting Diagnostic Knowledge from Hepatitis Dataset by Decision Tree Graph-Based Induction. (7)
Active Rules in Database Systems,ECA Functionality in a Distributed Environment. (4)
Ad Hoc Sens. Wirel. Networks,A Secure Low-Delay Protocol for Wireless Body Area Networks. (9),A Probabilistic Approach to Location Estimation in MANETs. (9)
Ada Deutschland Tagung,Model-Based Software Engineering and Ada: Synergy for the Development of Safety-Critical Systems. (6)
Ada Lovelace Symposium,Enchantress of Abstraction, Bride of Science: must Ada Lovelace be a superheroine? (4)
Ada-Europe,The Central on-Board Computer of the Philae Lander in the Context of the Rosetta Space Mission. (12)
Adapt. Behav.,Adapted and Adaptive Properties in Neural Networks for Visual Pattern Discrimination: A Neurobiological Analysis Toward Neural Engineering. (8),A model of exploration and goal-searching in the cockroach, Blaberus discoidalis. (8)
Adaptive and Multilevel Metaheuristics,Automated Parameterisation of a Metaheuristic for the Orienteering Problem. (4)
Adaptive and Personalized Semantic Web,A Multilayer Ontology Scheme for Integrated Searching in Distributed Hypermedia. (4),An Algorithmic Framework for Adaptive Web Content. (4),htmlButler - Wrapper Usability Enhancement through Ontology Sharing and Large Scale Cooperation. (4)
Addison-Wesley,Information Theory and the Brain (3)
Adequate Modeling of Systems,Adequate Modeling of Systems, Proceedings of the International Working Conference on Model Realism, Bad Honnef, Germany, April 20-23, 1982 (1)
Adv. Artif. Intell.,Development of Robots with Soft Sensor Flesh for Achieving Close Interaction Behavior. (9)
Adv. Artif. Neural Syst.,Comparison of Artificial Neural Network with Logistic Regression as Classification Models for Variable Selection for Prediction of Breast Cancer Patient Outcomes. (9)
Adv. Complex Syst.,Biologistics and the Struggle for Efficiency: Concepts and Perspectives. (11)
Adv. Comput. Math.,Finite volume methods for numerical simulation of the discharge motion described by different physical models. (8),Two-dimensional offsets and medial axis transform. (8),Numerical experiments with MALDI Imaging data. (8)
Adv. Comput. Res.,On Completeness and Soundness in Interactive Proof Systems. (5),A Randomized Data Structure for Ordered Sets. (5)
Adv. Data Sci. Adapt. Anal.,Automated Sleep Staging Technique Based on the Empirical Mode Decomposition Algorithm: a Preliminary Study. (11)
Adv. Eng. Informatics,Production service system enabled by cloud-based smart resource hierarchy for a highly dynamic synchronized production process. (10)
Adv. Math. Commun.,Computing discrete logarithms in cryptographically-interesting characteristic-three finite fields. (7)
Adv. Numer. Anal.,Eighth-Order Compact Finite Difference Scheme for 1D Heat Conduction Equation. (5)
Adv. Robotics,Designing, developing, and deploying systems to support human-robot teams in disaster response. (27)
Advanced Computational Intelligence Paradigms in Healthcare (1),Assistive Wheelchair Navigation: A Cognitive View. (6)
Advanced Computational Intelligence Paradigms in Healthcare - 2,Attacking the Inverse Electromagnetic Problem of the Heart with Computationally Compatible Anatomical and Histological Knowledge. (7)
Advanced Computational Intelligence in Healthcare (7),Human-Machine Interfaces for Motor Rehabilitation. (5),Intelligent and Immersive Visual Analytics of Health Data. (5)
Advanced Computational Methods for Knowledge Engineering,An Application of Computational Collective Intelligence to Governance and Policy Modelling. (7)
Advanced Course: Microcomputer System Design,Microcomputer System Design, An Advanced Course, Trinity College Dublin, Ireland, June 1981 (3)
Advanced Information Processing Techniques for LAN and MAN Management,Telecommunication Management Platforms. (8)
Advanced Methods for Computational Collective Intelligence,Biometric and Intelligent Student Progress Assessment System. (12)
Advanced Query Processing (1),A Functional Model for Dataspace Management Systems. (7)
Advanced Research in Data Privacy,Electronic Ticketing: Requirements and Proposals Related to Transport. (5)
Advanced Topics in Bisimulation and Coinduction,The algorithmics of bisimilarity. (3)
Advanced Topics in Computer Vision,Recognizing Human Actions by Using Effective Codebooks and Tracking. (3),Learning Object Detectors in Stationary Environments. (3),Large Scale Metric Learning for Distance-Based Image Classification on Open Ended Data Sets. (3),Co-recognition of Images and Videos: Unsupervised Matching of Identical Object Patterns and Its Applications. (3),Boosting k-Nearest Neighbors Classification. (3),Video Temporal Super-resolution Based on Self-similarity. (3),Evaluating and Extending Trajectory Features for Activity Recognition. (3),Moment Constraints in Convex Optimization for Segmentation and Tracking. (3)
Advanced Topics in Database Research, Vol. 1,Changing the Face of War through Telemedicine and Mobile E-commerce. (3),Extending UML for Space- and Time-Dependent Applications. (3),Modeling of Business Rules for Active Database Application Specification. (3),Cooperative Query Processing via Knowledge Abstraction and Query Relaxation. (3)
Advanced Topics in Exception Handling Techniques,Exception Handling in the Choices Operating System. (5),Ambient-Oriented Exception Handling. (5)
Advanced Topics in Information Retrieval,Digital Advertising: An Information Scientist's Perspective. (2),Scalability Challenges in Web Search Engines. (2),Quantum Mechanics and Information Retrieval. (2)
Advances and Applications of Automata on Words and Trees,Advances and Applications of Automata on Words and Trees, 12.12. - 17.12.2010 (5),10501 Abstracts Collection - Advances and Applications of Automata on Words and Trees. (5),10501 Executive Summary - Advances and Applications of Automata on Words and Trees. (5)
Advances in Algorithms, Languages, and Complexity,Algorithms for Learning Finite Automata from Queries: A Unified View. (3),Coding Complexity: The Computational Complexity of Succinct Descriptions. (3)
Advances in Biologically Inspired Information Systems,Context Data Dissemination in the Bio-inspired Service Life Cycle. (5)
Advances in Computational Intelligence and Learning,Fuzzy RED: Congestion Control for TCP/IP Diff-Serv. (6),Symbolic and Neural Learning of Named-Entity Recognition and Classification Systems in Two Languages. (6)
Advances in Computer Entertainment (Workshops),A Participatory Game Design Approach for Children After Cancer Treatment. (11)
Advances in Computer Graphics,Fast Spheres, Shadows, Textures, Transparencies, and Image Enhancements in Pixel-Planes. (8)
Advances in Computer Graphics Hardware,A Generalised Parallel Architecture for Image Based Algorithms. (9)
Advances in Computer Graphics Hardware IV,Advances in Computer Graphics Hardware IV (Eurographics'89 Workshop) (2)
Advances in Computer Graphics Hardware VI,Rendering, Visualization and Rasterization Hardware (Eurographics'91 Workshop) (1)
Advances in Computer Graphics I,Advances in Computer Graphics I (Tutorials from Eurographics'84 and Eurographics'85 Conf.) (3)
Advances in Cyber Security,Pseudonymous Signature Schemes. (7)
Advances in Distributed Systems,PerDiS: Design, Implementation, and Use of a PERsistent DIstributed Store. (14)
Advances in Evolutionary Computing for System Design,Designing a Recurrent Neural Network-based Controller for Gyro-Mirror Line-of-Sight Stabilization System using an Artificial Immune Algorithm. (4),Applying Hybrid Multiobjective Evolutionary Algorithms to the Sailor Assignment Problem. (4),Evolutionary Neuro-Fuzzy Systems and Applications. (4)
Advances in Experimental Social Psychology,The Role of Threat to Self-Esteem and Perceived Control in Recipient Reaction to Help: Theory Development and Empirical Validation. (2),The Elaboration Likelihood Model of Persuasion. (2)
Advances in Heuristic Signal Processing and Applications,A Comparative Study of Modified BBO Variants and Other Metaheuristics for Optimal Power Allocation in Wireless Sensor Networks. (4)
Advances in Information Systems Research, Education and Practice,Advances in Information Systems Research, Education and Practice - IFIP 20th World Computer Congress, TC 8, Information Systems, September 7-10, 2008, Milano, Italy (5)
Advances in Intelligent Information and Database Systems,Real Time Measurement and Visualization of ECG on Mobile Monitoring Stations of Biotelemetric System. (5)
Advances in Intelligent Process-Aware Information Systems,Towards Executable Specifications for Case Management Processes. (3),Process-Oriented Information Logistics: Requirements, Techniques, Application. (3),On the Fundamentals of Intelligent Process-Aware Information Systems. (3)
Advances in Knowledge Discovery and Data Mining,Fast Discovery of Association Rules. (5)
Advances in Knowledge Representation, Logic Programming, and Abstract Argumentation,Decidability of Circumscribed Description Logics Revisited. (5)
Advances in Machine Learning II,A System to Detect Inconsistencies between a Domain Expert's Different Perspectives on (Classification) Tasks. (5)
Advances in Metaheuristics for Hard Optimization,An Evolutionary Approach to Solve a Novel Mechatronic Multiobjective Optimization Problem. (5)
Advances in Network Information Theory,Linear Network Codes: A Unified Framework for Source, Channel, and Network Coding. (7)
Advances in Object-Oriented Data Modeling,Conceptual Modeling of Workflows. (4)
Advances in Petri Nets: The DEMON Project,Interleaving semantics and action refinement with atomic choice. (3),A survey of equivalence notions for net based systems. (3),A basic-net algebra for program semantics and its application to OCCAM. (3),The box calculus: a new causal algebra with multi-label communication. (3)
Advances in Web Semantics I,Models of Interaction as a Grounding for Peer to Peer Knowledge Sharing. (19)
AffCon@AAAI,CruzAffect at AffCon 2019 Shared Task: A feature-rich approach to characterize happiness. (6)
AffectRE@RE,How Angry are Your Customers? Sentiment Analysis of Support Tickets that Escalate. (6)
Agent Mediated Electronic Commerce (IJCAI Workshop),Legal Issues for Personalised Advertising on Internet: The AIMedia Case Study. (5)
Agent-Based Optimization,Team of A-Teams - A Study of the Cooperation between Program Agents Solving Difficult Optimization Problems. (5)
Agents,Toward the holodeck: integrating graphics, sound, character and story. (16)
Agents and Computational Autonomy,Dimensions of Adjustable Autonomy and Mixed-Initiative Interaction. (6)
Agents and Multi-Agent Systems Formalisms, Methodologies, and Applications,A Game-Theoretic Solution of Conflicts among Competitive Agents. (5)
Agile Development Conference,Adaptive Agility. (5),Behind the Rules: XP Experiences. (5)
Agile Service Development,Service Modelling. (10)
Agile Software Development,Towards an Understanding of the Conceptual Underpinnings of Agile Development Methodologies. (4),Architected Agile Solutions for Software-Reliant Systems. (4)
Aka,Temporal pattern mining in dynamic environments. (1),Anfrageoptimierung in objektrelationalen Datenbanken durch kostenbedingte Termersetzungen. (1),Situated interaction on spatial topics. (1),Zweistufige kontextsensitive Sprecherklassifikation am Beispiel von Alter und Geschlecht. (1),Ubiquitous user modeling. (1),Effiziente Lösungsverfahren für Sichtbarkeitsprobleme in der realitätsnahen Bildsynthese. (1),Semantische dreidimensionale Karten für autonome mobile Roboter. (1),Case retrieval nets as a model for building flexible information systems. (1),Trust based recommendations in multi-layer networks. (1),Knowledge-intensive subgroup mining: techniques for automatic and interactive discovery. (1),User modeling servers: requirements, design, and evaluation. (1),Decision-theoretic planning for user-adaptive systems: dealing with multiple goals and resource limitations. (1),Migrating characters: effective user guidance in instrumented environments. (1),Routenauswahl in Transportnetzen. (1),Erklärungsfähigkeit kooperierender regelbasierter Expertensysteme zum diagnostischen Problemlösen. (1)
Akademie-Verlag,Innovative Schriftlichkeit in digitalen Texten: syntaktische Variation und stilistische Differenzierung in Chat und Forum. (1),Ein operatives numerisches System der Kontrolle und Analyse meteorologischer Felder für die numerische Wettervorhersage im Nationalen Meteorologischen Zentrum der DDR. (1)
Akademische Verlagsgesellschaft AKA GmbH,Word embeddings: reliability & semantic change. (1),Concepts and algorithms for computing maximum entropy distributions for knowledge bases with relational probabilistic conditionals. (1),Supporting communication in spatially distributed groups: privacy as a service for ambient intelligence. (1)
Akademischer Verlag Heinz,Untersuchungen zur deutschen Fachsprache der elektronischen Datenverarbeitung (EDV): e. morphemat.-semant. Analyse d. Substantivbenennungen. (1)
Algebra, Geometry, and Software Systems,Computing Simplicial Homology Based on Efficient Smith Normal Form Algorithms. (4),Interactive Mathematical Documents on the Web. (4)
Algebraic and Coalgebraic Methods in the Mathematics of Program Construction,Algebraic Methods for Optimization Problems. (3),Algebraic and Coalgebraic Methods in the Mathematics of Program Construction, International Summer School and Workshop, Oxford, UK, April 10-14, 2000, Revised Lectures (3)
Algebraic and Proof-theoretic Aspects of Non-classical Logics,Algebraic and Proof-theoretic Aspects of Non-classical Logics, Papers in Honor of Daniele Mundici on the Occasion of His 60th birthday (5)
Algorithm Engineering,Experimental Analysis of Algorithms for Bilateral-Contract Clearing Mechanisms Arising in Deregulated Power Industry. (9)
Algorithmic Algebra and Number Theory,Sieving Methods for Class Group Computation. (5)
Algorithmics of Large and Complex Networks,Engineering Route Planning Algorithms. (4),Group-Level Analysis and Visualization of Social Networks. (4),Algorithms and Simulation Methods for Topology-Aware Sensor Networks. (4),Management of Variable Data Streams in Networks. (4),A Survey on Approximation Algorithms for Scheduling with Machine Unavailability. (4)
Algorithms Mol. Biol.,Modeling genetic imprinting effects of DNA sequences with multilocus polymorphism data. (10)
Algorithms and Applications for Next Generation SAT Solvers,Solving hard instances in QF-BV combining Boolean reasoning with computer algebra. (7)
Algorithms and Architectures,Dynamics of networks of biological neurons: Simulation and experimental tools. (5)
Algorithms and Theory of Computation Handbook,Computability. (4),Formal Grammars and Languages. (4),Crypto Topics and Applications I. (4),Algebraic Algorithms. (4),Crypto Topics and Applications II. (4)
Algorithms for Optimization with Incomplete Information,Network Discovery and Verification. (7)
Algorithms in Modern Mathematics and Computer Science,What can we do with problems of exhaustive search?. (2),What are the gains of the theory of algorithms: Basis developments connected with the concept of algorithm and with its application in mathematics. (2),Algorithms in Modern Mathematics and Computer Science, Proceedings, Urgench, Uzbek SSR, USSR, September 16-22, 1979 (2),The algorithmic complexity of linear algebras. (2)
AltMM@MM,Proceedings of the 1st International Workshop on Multimedia Alternate Realities, AltMM@MM 2016, Amsterdam, Netherlands, October 15 - 19, 2016 (5),Proceedings of the 3rd International Workshop on Multimedia Alternate Realities, AltMM@MM 2018, Seoul, Republic of Korea, October 22, 2018 (5),Locomotion by Natural Gestures for Immersive Virtual Environments. (5),Efficient Encoding of Interactive Personalized Views Extracted from Immersive Video Content. (5)
AmILP@ECAI,Towards a Simulation of AmI Environments Integrating Social and Network Simulations. (6),An Architecture for Situation-Aware Evacuation Guidance in Smart Buildings. (6)
Ambient Information Systems,A Time to Glance: Studying the Use of Mobile Ambient Information. (5)
Ambient Intelligence,TinyOS: An Operating System for Sensor Networks. (11)
Ambient Intelligence for Scientific Discovery,Science at the Speed of Thought. (9)
Ambient Intelligence in Everyday,Speaker Identification and Speech Recognition Using Phased Arrays. (7),Common Sense Reasoning - From Cyc to Intelligent Assistant. (7),A Smart Electric Wheelchair Using UPnP. (7),A Middleware for the Deployment of Ambient Intelligent Spaces. (7)
American Mathematical Society,WIN - Women in Numbers - Research Directions in Number Theory. (4)
Analysis and Visualization Tools for Constraint Programming,Using Constraint Visualisation Tools. (6)
Ann. Oper. Res.,A collaboratory for radiation therapy treatment planning optimization research. (13)
Ann. UMCS Informatica,Energy-aware Key Management in Mobile Wireless Sensor Networks. (7),Opening Access To Practice-based Evidence in Clinical Decision Support Systems with Natural Query Language. (7)
Annu. Rev. Control.,Industry engagement with control research: Perspective and messages. (15)
Anthology of Statistics in Sports,28. Bridging Different Eras in Sports. (3),20. More Probability Models for the NCAA Regional Basketball Tournaments. (3),19. It's Okay to Believe in the "Hot Hand". (3),1. Introduction. (3),15. Answering Questions about Baseball Using Statistics. (3),41. Down to Ten: Estimating the Effect of a Red Card in Soccer. (3)
ApPLIED@PODC,Data Distribution Method for Fast Giga-scale Hologram Generation on a Multi-GPU Cluster. (8)
Appl. Artif. Intell.,XML for Libraries, Archives, and Museums: The Project Covax. (13)
Appl. Comput. Intell. Soft Comput.,Smartphone Household Wireless Electroencephalogram Hat. (7)
Appl. Comput. Syst.,BrainTool v2.0 for Software Modeling in UML. (8)
Appl. Soft Comput.,A comparative analysis of speech signal processing algorithms for Parkinson's disease classification and the use of the tunable Q-factor wavelet transform. (10)
ApplePies,A New Space Digital Signal Processor Design. (15)
Application of Semantic Technology in Biodiversity Science,'Computable' Phenotypes Enable Comparative and Predictive Phenomics Among Plant Species and Across Domains of Life. (15)
Applications and Theory of Petri Nets,Saturation Conditions For Stochastic Petri Nets. (4)
Applications of Computational Intelligence in Biology,Computational Intelligence in Electrophysiology: Trends and Open Problems. (19)
Applications of Invariance in Computer Vision,Affine Reconstruction from Perspective Image Pairs Obtained by a Translating Camera. (4),Matching Perspective Views of Parallel Plane Structures. (4)
Applications of Membrane Computing,P System Models for Mechanosensitive Channels. (5)
Applications of Neural Networks in High Assurance Systems,Immune Systems Inspired Approach to Anomaly Detection, Fault Localization and Diagnosis in Automotive Engines. (4)
Applications of Stochastic Programming,11. Introduction to Stochastic Programming Applications. (4),3. The IBM Stochastic Programming System. (4)
Applications of Supervised and Unsupervised Ensemble Methods,A Personal Antispam System Based on a Behaviour-Knowledge Space Approach. (4),Independent Data Model Selection for Ensemble Dispersion Forecasting. (4)
Applications of Uncertainty Formalisms,Some problems in trying to implement uncertainty techniques in automated inspection. (4),Qualitative risk assessment fulfils a need. (4)
Applied Adversarial Reasoning and Risk Modeling,Towards Analyzing Adversarial Behavior in Clandestine Networks. (6),Towards the Integration of Multi-Attribute Optimization and Game Theory for Border Security Patrolling Strategies. (6)
Approaches in Integrative Bioinformatics,Information Retrieval in Life Sciences: A Programmatic Survey. (5)
Approaches to Legal Rationality,Relevance in the Law. (2),The Law of Evidence and Labelled Deduction: A Position Paper. (2),Logic and the Law: Crossing the Lines of Discipline. (2)
Apress open / Springer,Rethinking Productivity in Software Engineering. (2)
Arch. Formal Proofs,Formal Specification of a Generic Separation Kernel. (10)
Arch. Mus. Informatics,Situated Knowledge and the Virtual Science and Industry Museum: Problems in the Social-Technical Interface. (6)
Architecting Systems with Trustworthy Components,Towards an Engineering Approach to Component Adaptation. (6)
Architecting the Digital Transformation,Architecting Digital Products and Services. (6)
Architecture and Protocols for High-Speed Networks,Implementation and performance analysis of a mac protocol for an ATM network. (5)
Argument Comput.,Argument schemes for reasoning about trust. (9)
Argumentation in Artificial Intelligence,Argument-Based Machine Learning. (3),Assumption-Based Argumentation. (3),Belief Revision and Argumentation Theory. (3),Argumentation in Legal Reasoning. (3),Arguing on the Semantic Grid. (3),Argument-based Logic Programming. (3),Empowering Recommendation Technologies Through Argumentation. (3)
Ars Una,Informationsmanagement als Aushandlungsprozess: Analyse innerbetrieblicher Planungs- und Entscheidungsprozesse auf Grundlage empirischer Untersuchungen zur Einführung komplexer Bürokommunikationssysteme in der deutschen Mittel- und Grossindustrie. (1),Symbol, Geist und Computer: der Symbolbegriff in Philosophie und Kognitionswissenschaft und seine Beziehung zur Erforschung des Geistes. (1),Schreibprozess und Computer. (1)
Art Sci. Eng. Program.,Editorial: Introducing The Art, Science, and Engineering of Programming - An Open Access Journal for All-Things Programming. (9)
Art and Complexity,Preface. (2),Modeling Complexity for Interactive Art Works on the Internet. (2)
Art-QoS,An IP QoS Architecture for 4G Networks. (9)
Artif. Intell. Eng. Des. Anal. Manuf.,Sketch-based interaction and modeling: where do we stand? (13)
Artificial Intelligence in the Game Design Process,Knowledge Guided Development of Videogames. (4)
Artificial Intelligence: An International Perspective,Agents, Intelligence and Tools. (4)
Artificial Neural Networks,The Extraction of Information and Knowledge from Trained Neural Networks. (6)
Artificial Neural Networks in Biomedicine,Intelligent Decision Support Systems in the Cytodiagnosis of Breast Carcinoma. (5)
Aschendorff,Intentionalität und Reflexion: Bausteine zu einer hermeneutischen Kognitionswissenschaft. (1)
AsiaHaptics,Analysis and Design of Surgical Instruments for the Development of a Shoulder Joint Arthroscopic Surgery Simulator. (9)
AsiaSim (1),Investigation of Eddy Diffusivity in a Reactive Plane Jet by Using Direct Numerical Simulation. (7),A Robust Physics-Based 3D Soft Tissue Parameters Estimation Method for Warping Dynamics Simulation. (7)
Aslib Proc.,The Google generation: the information behaviour of the researcher of the future. (10)
Aspects of Automatic Text Analysis,System Theoretical Research on Language and Communication: The Extended Experimental-Simulative Method. (3)
Aspects of Molecular Computing,A DNA Algorithm for the Hamiltonian Path Problem Using Microfluidic Systems. (3),Aspects of Molecular Computing, Essays Dedicated to Tom Head on the Occasion of His 70th Birthday (3),DNA-based Cryptography. (3),Splicing Test Tube Systems and Their Relation to Splicing Membrane Systems. (3),Eilenberg P Systems with Symbol-Objects. (3),Solving Graph Problems by P Systems with Restricted Elementary Active Membranes. (3),On the Universality of P Systems with Minimal Symport/Antiport Rules. (3),Formal Languages Arising from Gene Repeated Duplication. (3),The P Versus NP Problem Through Cellular Computing with Membranes. (3),Formal Properties of Gene Assembly: Equivalence Problem for Overlap Graphs. (3),Fixed Point Approach to Commutation of Languages. (3),Digital Information Encoding on DNA. (3),Transducers with Programmable Input by DNA Self-assembly. (3),An Algorithm for Testing Structure Freeness of Biomolecular Sequences. (3),On Some Classes of Splicing Languages. (3),Balance Machines: Computing = Balancing. (3)
Aspects of Natural Language Processing,COLLANE: An Experiment in Computer-Mediated Tacit Collaboration. (11)
Assistive Technology and Artificial Intelligence,NavChair: An Assistive Wheelchair Navigation System with Automatic Adaptation. (6)
Assurances for Self-Adaptive Systems,Model Checking Adaptive Software with Featured Transition Systems. (5),Verification of a Self-configuration Protocol for Distributed Applications in the Cloud. (5)
Asymptot. Anal.,On the asymptotic behavior of solutions to nonlinear ordinary differential equations. (5),On the uniqueness and analyticity in viscoelasticity with double porosity. (5),On asymptotic isotropy for a hydrodynamic model of liquid crystals. (5),Resonant states for a three-body problem under an external field. (5),Dynamics and stability of the 3D Brinkman-Forchheimer equation with variable delay (I). (5),Spectroscopic conductivity imaging of a cell culture. (5)
Athenäum,On some variable population size: issues in welfare economics. (1)
Atomicity: A Unifying Concept in Computer Science,06121 Report: Break Out Session on Guaranteed Execution. (6)
Auerbach Publications / Taylor & Francis,Software Engineering for Variability Intensive Systems - Foundations and Applications (3)
Auerbach Publications/CRC,The Handbook of Mobile Middleware. (2)
Augmented Reality Art,Skin to Skin: Performing Augmented Reality. (5)
Augustinus-Buchh.,Gestaltungsperspektiven für Mensch-Maschine-Interaktion im Lichte der Struktureigenschaften sprachlicher Kommunikation. (1)
AusCTW,Measurements and analysis of multiuser MIMO-OFDM channels in campus environment. (6),A comparison of linear transceiver techniques in multiuser MIMO broadcast systems. (6)
AusGrid,Experiences in Developing a Node of an International Computational Physics Data Grid. (10)
Australas. J. Inf. Syst.,Towards Next Generation Rubrics: An Automated Assignment Feedback System. (10)
Australasian Database Conference,Design and Implementation of DB-MAN Alpha: Does Database Migration Work Well in a Real Environment? (6)
Australian Computer, Network & Information Forensics Conference,Forensic Computing Theory & Practice: Towards developing a methodology for a standardised approach to Computer misuse. (4),Graphical Authentication: An Architectural Design Specification. (4),An investigation into long range detection of passive UHF RFID tags. (4)
Australian Conference on Artificial Intelligence,Automated Scene Understanding for Airport Aprons. (9)
AutoID,Quantitative assessment of the benefits of RFID technology for libraries: a trans-European study. (7)
AutoML@ICML,A brief Review of the ChaLearn AutoML Challenge: Any-time Any-dataset Learning without Human Intervention. (13)
Autom. Softw. Eng.,Syntax-Directed Amorphous Slicing. (8),Automated verification of model transformations based on visual contracts. (8),Scalable and scope-bounded software verification in Varvel. (8),Understanding the value of considering client usage context in package cohesion for fault-proneness prediction. (8),A framework for supporting dynamic systems co-evolution. (8)
Automata Networks,An Overview of the Firing Squad Synchronization Problem. (1),Arrays, Automata and Groups: Some Interconnections. (1),Automata Networks, LITP Spring School on Theoretical Computer Science, Angelès-Village, France, May 12-16, 1986, Proceedings (1),Computation on Finite Networks of Automata. (1),An Introduction to Automata Network Theory. (1),Representation of Knowledge and Learning on Automata Networks. (1),Random Problem Nets and Disordered Systems. (1),Systolic Algorithms for Path- Finding Problems. (1),Local Maps. (1),Threshold Networks and Generalizations. (1)
Automata Theory and Formal Languages,Formal translations and the containment problem for Szilard languages. (2),On the generative capacity of the strict global grammars. (2),On the complexity of computations under varying sets of primitives. (2),Le cylindre des langages linéaires n'est pas principal. (2),Langages algébriques déterministes et groupes abeliens. (2),En\En-1-entscheidbare Gruppen. (2)
Automata on Infinite Words,Logical formulas and four subclasses of omega-regular languages. (3)
Automated Machine Learning,Analysis of the AutoML Challenge Series 2015-2018. (13)
Automated Reasoning,Automated Reasoning: Essays in Honor of Woody Bledsoe (1)
Automated Reasoning for Systems Biology and Medicine,Set-Based Analysis for Biological Modeling. (6),Metastable Regimes and Tipping Points of Biochemical Networks with Potential Applications in Precision Medicine. (6),Models, Devices, Properties, and Verification of Artificial Pancreas Systems. (6),Logic and Linear Programs to Understand Cancer Response. (6)
Automated Reasoning: Essays in Honor of Woody Bledsoe,Reasoning in Paraconsistent Logics. (4)
Automatentheorie und Formale Sprachen,A drum scheduling algorithm. (3),Zur Komplexität gesteuerter kontextfreier Ersetzungen. (3)
AutomotiveUI,Capturing Passenger Experience in a Ride-Sharing Autonomous Vehicle: The Role of Digital Assistants in User Interface Design. (12),An exploratory study on the impact of typeface design in a text rich user interface on off-road glance behavior. (12)
Auton. Agents Multi Agent Syst.,Evolution of the GPGP/TÆMS Domain-Independent Coordination Framework. (13)
Autonomic Networking,Integration of Mobile IPv6 into Mobile Ad-Hoc Network Systems. (8),Managing Policies for Dynamic Spectrum Access. (8)
Autonomous and Adaptive Web Services,Autonomous and Adaptive Web Services, 04.02. - 09.02.2007 (5),07061 Abstracts Collection -- Autonomous and Adaptive Web Services. (5)
Axioms,Topological Signals of Singularities in Ricci Flow. (7)
BADGERS@ESORICS,The Vulnerability Dataset of a Large Software Ecosystem. (6),ANDRUBIS - 1, 000, 000 Apps Later: A View on Current Android Malware Behaviors. (6)
BADS@ICAC,An innovative perspective on mapping in grids. (5)
BAIP,Information Processing and Management - International Conference on Recent Trends in Business Administration and Information Processing, BAIP 2010, Trivandrum, Kerala, India, March 26-27, 2010. Proceedings (9)
BAMBI,Optimal Joint Segmentation and Tracking of Escherichia Coli in the Mother Machine. (8),Learning Imaging Biomarker Trajectories from Noisy Alzheimer's Disease Data Using a Bayesian Multilevel Model. (8)
BASYS,Integrating Multi-Agent Systems: A Case Study. (10)
BCEC,Comparative Analysis of Different Methods for the Detection of Specificity Regions in Protein Families. (6)
BCI,An Empirical Study on the Reuse of Third-Party Libraries in Open-Source Software Development. (9)
BCI (Local),Design and Development of Educational Platform in Augmented Reality Environment using Gamification to enhance Traditional, Electronic and Lifelong Learning Experience. (5),Analyses of QoS Routing Approach and the Starvation's Evaluation in LAN. (5),Service Agents for Calendar Exchange. (5),The Evaluation of Performance in Flow Label and Non Flow Label Approach Based on IPv6 Technology. (5)
BCIforReal@IUI,The Expectation Based Eye-Brain-Computer Interface: An Attempt of Online Test. (9)
BCS HCI (2),Innovations in measuring accessibility: theoretical and practical perspectives. (7),Pixaura: supporting tentative decision making when selecting and sharing digital photos. (7)
